"","name","mean1","mean2","sd1","sd2"
"1","Semibalanus.balanoides_EMcaByROC_mergedData_mergedRun_mergedAlgo",0.907,0.649,NA,NA
"2","Semibalanus.balanoides_EMcaByTSS_mergedData_mergedRun_mergedAlgo",0.95,0.784,NA,NA
"3","Semibalanus.balanoides_EMmeanByROC_mergedData_mergedRun_mergedAlgo",0.905,0.685,NA,NA
"4","Semibalanus.balanoides_EMmeanByTSS_mergedData_mergedRun_mergedAlgo",0.969,0.838,NA,NA
"5","Semibalanus.balanoides_EMwmeanByROC_mergedData_mergedRun_mergedAlgo",0.915,0.703,NA,NA
"6","Semibalanus.balanoides_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo",0.971,0.829,NA,NA
