"","name","mean1","mean2","sd1","sd2"
"1","GAM",0.74675,0.42725,0.0159033539439537,0.04300678241084
"2","GLM",0.771,0.5215,0.0143294568401365,0.0184842275106824
"3","MAXENT",0.835,0.5415,0.0223159136044214,0.0486106984109465
"4","RF",1,1,0,0
