"","name","mean1","mean2","sd1","sd2"
"1","GAM",0.5585,0.23,0.00793725393319374,0.0316754373818789
"2","GLM",0.59575,0.25225,0.0254869247523771,0.0608187197059151
"3","MAXENT",0.576,0.20125,0.0302324329156619,0.0819039071107111
"4","RF",0.59875,0.20525,0.003685557397916,0.0297363414023985
