"","name","mean1","mean2","sd1","sd2"
"1","GAM",0.8655,0.6375,0.018645821694596,0.0153297097167559
"2","GLM",0.8025,0.50575,0.0119303534454489,0.029227555491351
"3","MAXENT",0.674,0.34725,0.014696938456699,0.0298035232816525
"4","RF",0.817,0.51,0.024644133852366,0.00844590630621329
