"","name","mean1","mean2","sd1","sd2"
"1","GAM",0.858,0.725,0.0208006410157636,0.0271661554144123
"2","GLM",0.9255,0.735,0.010785793124909,0.0291318840219212
"3","MAXENT",0.80925,0.61975,0.0495605690039975,0.100996287060466
"4","RF",1,1,0,0
