"","name","mean1","mean2","sd1","sd2"
"1","GAM",0.684,0.3645,0.0156843871413581,0.0185921130231791
"2","GLM",0.6825,0.3755,0.0231876403859182,0.00613731754650733
"3","MAXENT",0.853,0.59675,0.0487442304278158,0.0855467708332699
"4","RF",1,1,0,0
