"","name","mean1","mean2","sd1","sd2"
"1","GAM",0.51225,0.1405,0.00543905629069358,0.0110905365064094
"2","GLM",0.5025,0.17275,0.083843107448774,0.0634842500152597
"3","MAXENT",0.6035,0.2505,0.0621262156152028,0.152596417607579
"4","RF",0.71825,0.4245,0.0335397773795037,0.0386566078870526
