"","full.name","merged.by.PA","merged.by.run","merged.by.algo","filtered.by","algo","metric.eval","cutoff","sensitivity","specificity","calibration","validation","evaluation"
"1","Chthamalus.montagui_EMmeanByTSS_mergedData_mergedRun_mergedAlgo","mergedData","mergedRun","mergedAlgo","TSS","EMmean","TSS",419,96,92,0.88,NA,0.526
"2","Chthamalus.montagui_EMmeanByTSS_mergedData_mergedRun_mergedAlgo","mergedData","mergedRun","mergedAlgo","TSS","EMmean","ROC",421,96,92,0.983,NA,0.835
"3","Chthamalus.montagui_EMcaByTSS_mergedData_mergedRun_mergedAlgo","mergedData","mergedRun","mergedAlgo","TSS","EMca","TSS",561,92,96,0.88,NA,0.491
"4","Chthamalus.montagui_EMcaByTSS_mergedData_mergedRun_mergedAlgo","mergedData","mergedRun","mergedAlgo","TSS","EMca","ROC",562.5,92,96,0.986,NA,0.816
"5","Chthamalus.montagui_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","mergedData","mergedRun","mergedAlgo","TSS","EMwmean","TSS",427,96,93.333,0.893,NA,0.526
"6","Chthamalus.montagui_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","mergedData","mergedRun","mergedAlgo","TSS","EMwmean","ROC",425,96,93.333,0.983,NA,0.835
"7","Chthamalus.montagui_EMmeanByROC_mergedData_mergedRun_mergedAlgo","mergedData","mergedRun","mergedAlgo","ROC","EMmean","TSS",419,96,92,0.88,NA,0.526
"8","Chthamalus.montagui_EMmeanByROC_mergedData_mergedRun_mergedAlgo","mergedData","mergedRun","mergedAlgo","ROC","EMmean","ROC",421,96,92,0.983,NA,0.835
"9","Chthamalus.montagui_EMcaByROC_mergedData_mergedRun_mergedAlgo","mergedData","mergedRun","mergedAlgo","ROC","EMca","TSS",561,92,96,0.88,NA,0.491
"10","Chthamalus.montagui_EMcaByROC_mergedData_mergedRun_mergedAlgo","mergedData","mergedRun","mergedAlgo","ROC","EMca","ROC",562.5,92,96,0.986,NA,0.816
"11","Chthamalus.montagui_EMwmeanByROC_mergedData_mergedRun_mergedAlgo","mergedData","mergedRun","mergedAlgo","ROC","EMwmean","TSS",426.5,96,93.333,0.893,NA,0.508
"12","Chthamalus.montagui_EMwmeanByROC_mergedData_mergedRun_mergedAlgo","mergedData","mergedRun","mergedAlgo","ROC","EMwmean","ROC",428,96,93.333,0.983,NA,0.831
